,id,teacher,course_name,teacher_course,assignment,test,in_group,attend,report
49,50,黃家廉,近代史事叢譚,黃家廉 - 近代史事叢譚,0.0,6.0,0,3.0,0.0
50,51,陳省身,台灣歷史采風與踏查,陳省身 - 台灣歷史采風與踏查,2.5,5.0,10,2.5,0.0
51,52,王志銘,哲學概論,王志銘 - 哲學概論,10.0,0.0,0,0.0,0.0
52,53,王志銘,哲學經典導讀,王志銘 - 哲學經典導讀,10.0,0.0,0,0.0,0.0
53,54,王志銘,美學－理論與實務,王志銘 - 美學－理論與實務,10.0,0.0,0,0.0,0.0
54,55,王靈康,哲學經典導讀,王靈康 - 哲學經典導讀,1.0,8.0,0,1.0,0.0
55,56,王靈康,哲學概論,王靈康 - 哲學概論,1.0,8.0,0,1.0,0.0
56,57,王靈康,職業倫理,王靈康 - 職業倫理,1.0,8.0,0,1.0,0.0
57,58,林宸安,哲學概論,林宸安 - 哲學概論,1.0,8.0,0,1.0,0.0
58,59,林宸安,倫理學(全英語授課),林宸安 - 倫理學(全英語授課),1.5,3.5,10,1.5,3.5
59,60,徐佐銘,醫學倫理,徐佐銘 - 醫學倫理,8.0,0.0,0,2.0,0.0
60,61,徐佐銘,環境倫理,徐佐銘 - 環境倫理,8.0,0.0,0,2.0,0.0
61,62,徐佐銘,性愛的文學與哲學,徐佐銘 - 性愛的文學與哲學,8.0,0.0,0,2.0,0.0
62,63,徐佐銘,環境倫理(進),徐佐銘 - 環境倫理(進),8.0,0.0,0,2.0,0.0
63,64,蘇富芝,哲學經典導讀,蘇富芝 - 哲學經典導讀,6.0,0.0,10,0.0,4.0
64,65,許樹和,哲學經典導讀,許樹和 - 哲學經典導讀,2.0,7.0,0,1.0,0.0
65,66,陳杏枝,宗教概論,陳杏枝 - 宗教概論,2.5,5.0,10,0.0,2.5
66,67,陳杏枝,宗教概論(全英語授課),陳杏枝 - 宗教概論(全英語授課),2.5,5.0,10,0.0,2.5
67,68,陳杏枝,台灣宗教,陳杏枝 - 台灣宗教,2.5,5.0,10,0.0,2.5
68,69,李峰銘,宗教概論(進),李峰銘 - 宗教概論(進),2.5,0.0,0,2.5,5.0
69,70,李峰銘,宗教經典導讀,李峰銘 - 宗教經典導讀,2.5,0.0,0,2.5,5.0
70,71,鄭鈞瑋,生死學,鄭鈞瑋 - 生死學,5.5,2.5,0,2.0,0.0
71,72,楊濟鶴,邏輯與哲學(雙語授課(中文/英文)),楊濟鶴 - 邏輯與哲學(雙語授課(中文/英文)),2.0,7.0,10,1.0,0.0
72,73,楊濟鶴,邏輯與哲學,楊濟鶴 - 邏輯與哲學,2.0,7.0,10,1.0,0.0
73,74,洪雨婷,美學－理論與實務(全英語授課),洪雨婷 - 美學－理論與實務(全英語授課),3.0,3.0,10,2.0,2.0
74,75,劉亞蘭,性別理論與實踐,劉亞蘭 - 性別理論與實踐,7.0,0.0,0,3.0,0.0
75,76,鄭合修,哲學經典導讀,鄭合修 - 哲學經典導讀,2.0,5.0,0,3.0,0.0
76,77,李志成,生死學,李志成 - 生死學,5.0,4.0,0,1.0,0.0
77,78,林怡仲,邏輯與哲學,林怡仲 - 邏輯與哲學,0.0,8.5,0,1.5,0.0
78,79,劉韋廷,台灣宗教,劉韋廷 - 台灣宗教,2.0,3.0,10,2.0,3.0
79,80,王蔚婷,宗教概論(蘭陽校園上課)(進),王蔚婷 - 宗教概論(蘭陽校園上課)(進),10.0,0.0,10,0.0,0.0
80,81,陳慧勻,臺灣劇場講座,陳慧勻 - 臺灣劇場講座,5.0,3.0,0,2.0,0.0
81,82,陳慧勻,淡水新篇章－生態與人文地圖,陳慧勻 - 淡水新篇章－生態與人文地圖,8.0,0.0,10,2.0,0.0
82,83,陳慧勻,表演藝術,陳慧勻 - 表演藝術,3.0,2.0,10,2.0,3.0
83,84,陳慧勻,表演藝術(全英語授課),陳慧勻 - 表演藝術(全英語授課),3.0,2.0,10,2.0,3.0
84,85,陳慧勻,從文本到舞台─讀劇概論,陳慧勻 - 從文本到舞台─讀劇概論,3.0,2.0,10,2.0,3.0
85,86,吳文琪,表演藝術(全英語授課),吳文琪 - 表演藝術(全英語授課),5.0,0.0,10,2.0,3.0
86,87,吳文琪,表演藝術,吳文琪 - 表演藝術,5.0,0.0,10,2.0,3.0
87,88,吳文琪,身體語言與舞蹈藝術,吳文琪 - 身體語言與舞蹈藝術,4.5,0.0,10,2.5,3.0
88,89,吳文琪,身體語言與環境探索,吳文琪 - 身體語言與環境探索,3.5,0.0,10,3.5,3.0
89,90,干詠穎,音樂概論,干詠穎 - 音樂概論,4.0,2.5,0,1.0,2.5
90,91,干詠穎,世界名曲賞析與詮釋,干詠穎 - 世界名曲賞析與詮釋,4.0,2.5,0,1.0,2.5
91,92,謝朝鐘,數位藝術概論(雙語授課(中文/英文)),謝朝鐘 - 數位藝術概論(雙語授課(中文/英文)),8.0,0.0,10,2.0,0.0
92,93,謝朝鐘,音樂與藝術的對話,謝朝鐘 - 音樂與藝術的對話,8.0,0.0,10,2.0,0.0
93,94,王淑堯,西洋歌劇欣賞入門,王淑堯 - 西洋歌劇欣賞入門,6.5,0.0,10,0.5,0.0
94,95,戴佳茹,造型藝術中的基礎素描技法,戴佳茹 - 造型藝術中的基礎素描技法,5.0,0.0,0,5.0,0.0
95,96,戴佳茹,藝術與人生－與大師對話,戴佳茹 - 藝術與人生－與大師對話,10.0,0.0,0,0.0,0.0
96,97,戴佳茹,歐洲文化藝術行旅(遠距非同步課程),戴佳茹 - 歐洲文化藝術行旅(遠距非同步課程),10.0,0.0,0,0.0,0.0
97,98,林俊賢,新媒體藝術概論,林俊賢 - 新媒體藝術概論,4.0,0.0,10,3.0,3.0
98,99,李珮瑜,鋼琴藝術與生活,李珮瑜 - 鋼琴藝術與生活,2.0,4.0,0,0.0,4.0
99,100,李珮瑜,音樂與藝術的對話,李珮瑜 - 音樂與藝術的對話,6.0,4.0,0,0.0,0.0
100,101,李珮瑜,音樂與藝術的對話(全英語授課),李珮瑜 - 音樂與藝術的對話(全英語授課),6.0,4.0,0,0.0,0.0
101,102,林鄉雨,西洋歌劇欣賞入門(全英語授課),林鄉雨 - 西洋歌劇欣賞入門(全英語授課),5.0,0.0,10,0.0,5.0
102,103,沈禎,書法藝術的應用,沈禎 - 書法藝術的應用,8.0,0.0,0,2.0,0.0
103,104,謝諭,造型藝術中的基礎素描技法(全英語授課),謝諭 - 造型藝術中的基礎素描技法(全英語授課),3.0,0.0,0,2.0,5.0
104,105,楊春森,造型藝術中的基礎素描技法,楊春森 - 造型藝術中的基礎素描技法,6.0,2.0,0,2.0,0.0
105,106,翁瑋鴻,表演藝術－傳統戲曲賞析,翁瑋鴻 - 表演藝術－傳統戲曲賞析,3.0,2.0,10,2.0,3.0
106,107,林妙鏗,藝術與人生(蘭陽校園上課),林妙鏗 - 藝術與人生(蘭陽校園上課),4.0,6.0,0,0.0,0.0
107,108,徐博正,藝術與人生(蘭陽校園上課),徐博正 - 藝術與人生(蘭陽校園上課),3.0,6.0,0,1.0,0.0
108,109,林立,世界人權問題,林立 - 世界人權問題,4.0,4.0,0,2.0,0.0
109,110,林立,文化全球化,林立 - 文化全球化,4.0,4.0,0,2.0,0.0
110,111,唐裕安,國際現勢(全英語授課),唐裕安 - 國際現勢(全英語授課),0.0,5.0,10,1.0,4.0
111,112,崔琳,國際現勢,崔琳 - 國際現勢,0.0,6.0,0,4.0,0.0
112,113,崔琳,文化全球化,崔琳 - 文化全球化,0.0,6.0,0,4.0,0.0
113,114,馬準威,國際現勢,馬準威 - 國際現勢,5.0,3.0,0,2.0,0.0
114,115,徐浤馨,國際現勢(遠距非同步課程),徐浤馨 - 國際現勢(遠距非同步課程),5.0,0.0,0,5.0,0.0
115,116,徐浤馨,東亞與世界,徐浤馨 - 東亞與世界,5.0,0.0,0,5.0,0.0
116,117,林穎佑,國際現勢,林穎佑 - 國際現勢,0.0,3.0,10,3.0,4.0
117,118,林穎佑,國際現勢(進),林穎佑 - 國際現勢(進),0.0,3.0,10,3.0,4.0
118,119,歐陽睿,國際現勢(全英語授課),歐陽睿 - 國際現勢(全英語授課),2.0,7.0,0,1.0,0.0
119,120,歐陽睿,國際現勢(進),歐陽睿 - 國際現勢(進),2.0,7.0,0,1.0,0.0
120,121,張福昌,歐洲聯盟與歐洲統合,張福昌 - 歐洲聯盟與歐洲統合,2.0,6.0,0,2.0,0.0
121,122,張五岳,全球體系與兩岸關係,張五岳 - 全球體系與兩岸關係,3.0,4.0,10,3.0,0.0
122,123,陳建甫,全球體系與兩岸關係,陳建甫 - 全球體系與兩岸關係,6.0,0.0,10,1.0,3.0
123,124,胡慶山,全球體系與兩岸關係(全英語授課),胡慶山 - 全球體系與兩岸關係(全英語授課),0.0,2.0,10,1.0,7.0
124,125,洪耀南,全球體系與兩岸關係,洪耀南 - 全球體系與兩岸關係,3.0,3.0,10,1.0,3.0
125,126,陳逸青,經濟全球化,陳逸青 - 經濟全球化,4.0,0.0,10,2.0,4.0
126,127,李文基,經濟全球化,李文基 - 經濟全球化,2.0,3.0,10,1.0,4.0
127,128,蔡錫勳,經濟全球化,蔡錫勳 - 經濟全球化,0.0,6.0,0,4.0,0.0
128,129,李志強,經濟全球化,李志強 - 經濟全球化,0.0,8.0,0,2.0,0.0
129,130,小山直則,經濟全球化,小山直則 - 經濟全球化,0.0,6.0,0,1.0,3.0
130,131,黃富娟,美洲現勢,黃富娟 - 美洲現勢,5.0,0.0,10,0.0,5.0
131,132,宮國威,美洲現勢,宮國威 - 美洲現勢,5.0,3.0,0,2.0,0.0
132,133,霍珍妮,國際非政府組織(全英語授課),霍珍妮 - 國際非政府組織(全英語授課),1.0,0.0,10,3.0,6.0
133,134,黃介正,台灣戰略地位,黃介正 - 台灣戰略地位,7.0,3.0,10,0.0,0.0
134,135,薛曉華,教育未來,薛曉華 - 教育未來,6.0,0.0,10,0.0,4.0
135,136,陳錫珍,教育未來,陳錫珍 - 教育未來,2.0,2.0,10,2.0,4.0
136,137,陳思思,教育未來,陳思思 - 教育未來,10.0,0.0,0,0.0,0.0
137,138,陳思思,社會未來(全英語授課),陳思思 - 社會未來(全英語授課),10.0,0.0,0,0.0,0.0
138,139,簡義杰,環境未來,簡義杰 - 環境未來,2.0,4.0,10,1.0,3.0
139,140,張保興,環境未來,張保興 - 環境未來,10.0,0.0,10,0.0,0.0
140,141,康世芳,環境未來,康世芳 - 環境未來,0.0,7.0,0,3.0,0.0
141,142,高思懷,環境未來,高思懷 - 環境未來,0.0,4.0,0,1.6,4.4
142,143,洪耀南,環境未來,洪耀南 - 環境未來,6.0,2.0,10,2.0,0.0
143,144,艾之涵,環境未來(全英語授課),艾之涵 - 環境未來(全英語授課),5.0,0.0,10,1.0,4.0
144,145,王貞靜,經濟未來,王貞靜 - 經濟未來,1.5,5.0,10,1.5,2.0
145,146,鄧玉英,經濟未來,鄧玉英 - 經濟未來,5.0,0.0,10,2.0,3.0
146,147,鄧玉英,經濟未來—長壽趨勢與高齡經濟,鄧玉英 - 經濟未來—長壽趨勢與高齡經濟,5.0,0.0,10,2.0,3.0
147,148,邱俊達,社會未來,邱俊達 - 社會未來,2.0,0.0,10,3.0,5.0
148,149,劉玉儀,社會未來,劉玉儀 - 社會未來,1.0,8.0,0,1.0,0.0
149,150,史城均,社會未來(全英語授課),史城均 - 社會未來(全英語授課),8.0,0.0,0,2.0,0.0
150,151,王伯昌,科技未來,王伯昌 - 科技未來,7.0,0.0,0,3.0,0.0
151,152,范素玲,科技未來(遠距非同步課程),范素玲 - 科技未來(遠距非同步課程),7.0,3.0,0,0.0,0.0
152,153,張朝欽,科技未來,張朝欽 - 科技未來,8.0,0.0,0,2.0,0.0
153,154,紀舜傑,政治未來,紀舜傑 - 政治未來,1.0,4.0,10,2.0,3.0
154,155,紀舜傑,社會未來-運動文化趨勢,紀舜傑 - 社會未來-運動文化趨勢,1.0,4.0,10,2.0,3.0
155,156,江素慧,政治未來,江素慧 - 政治未來,0.0,7.5,0,2.5,0.0
156,157,邱俊達,社會未來-城市未來(雙語授課(中文/英文)),邱俊達 - 社會未來-城市未來(雙語授課(中文/英文)),6.0,0.0,10,2.0,2.0
157,158,周湘華,政治未來,周湘華 - 政治未來,1.0,6.0,0,1.5,1.5
158,159,陳杏枝,台灣社會與文化,陳杏枝 - 台灣社會與文化,5.5,4.5,10,0.0,0.0
159,160,胡延薇,人際關係與溝通,胡延薇 - 人際關係與溝通,1.0,3.0,0,3.0,3.0
160,161,胡延薇,幸福的理性與感性,胡延薇 - 幸福的理性與感性,1.0,3.0,0,3.0,3.0
161,162,鄧玉英,經濟學概論,鄧玉英 - 經濟學概論,5.0,2.0,10,3.0,0.0
162,163,宋鴻燕,正向心理學,宋鴻燕 - 正向心理學,7.0,0.0,0,0.0,3.0
163,164,韓貴香,社會心理學,韓貴香 - 社會心理學,3.0,5.0,0,2.0,0.0
164,165,韓貴香,心理學導論,韓貴香 - 心理學導論,3.0,5.0,0,2.0,0.0
165,166,黃奕琳,人權與社會正義,黃奕琳 - 人權與社會正義,3.0,7.0,10,0.0,0.0
166,167,黃奕琳,政治學概論,黃奕琳 - 政治學概論,3.0,7.0,0,0.0,0.0
167,168,黃奕琳,政治心理學,黃奕琳 - 政治心理學,3.0,7.0,0,0.0,0.0
168,169,林楚淇,人權與社會正義,林楚淇 - 人權與社會正義,1.0,7.0,0,2.0,0.0
169,170,藍毓華,媒體與傳播文化,藍毓華 - 媒體與傳播文化,4.0,0.0,10,2.0,4.0
170,171,藍毓華,社會變遷與社會教育,藍毓華 - 社會變遷與社會教育,4.0,0.0,0,2.0,4.0
171,172,藍毓華,數位環境與媒體新素養,藍毓華 - 數位環境與媒體新素養,4.0,0.0,0,2.0,4.0
172,173,黃文智,戰爭與人性,黃文智 - 戰爭與人性,0.0,5.0,10,1.0,4.0
173,174,鄧玉英,幸福經濟學,鄧玉英 - 幸福經濟學,3.0,2.0,10,2.0,3.0
174,175,宋鴻燕,發展心理學概論,宋鴻燕 - 發展心理學概論,7.0,3.0,0,0.0,0.0
175,176,林怡君,發展心理學概論(遠距非同步課程),林怡君 - 發展心理學概論(遠距非同步課程),2.5,3.0,10,1.5,3.0
176,177,胡延薇,心理學導論,胡延薇 - 心理學導論,1.0,3.0,10,3.0,3.0
177,178,劉玉儀,社會學導論(全英語授課),劉玉儀 - 社會學導論(全英語授課),0.0,2.0,10,3.0,5.0
178,179,周文卿,生活與財經(雙語授課(中文/英文)),周文卿 - 生活與財經(雙語授課(中文/英文)),2.0,0.0,10,2.0,6.0
179,180,劉素鳳,性別與社會(進),劉素鳳 - 性別與社會(進),3.5,2.5,0,1.5,2.5
180,181,毛莉雯,健康行銷(進),毛莉雯 - 健康行銷(進),8.0,0.0,10,2.0,0.0
181,182,黃寄倫,科技社會與公民參與,黃寄倫 - 科技社會與公民參與,4.0,4.0,10,2.0,0.0
182,183,戴政龍,科技社會與公民參與,戴政龍 - 科技社會與公民參與,3.6,5.0,0,1.4,0.0
183,184,呂其昌,企業與法律,呂其昌 - 企業與法律,3.0,7.0,0,0.0,0.0
184,185,涂予尹,生活與法律,涂予尹 - 生活與法律,10.0,0.0,0,0.0,0.0
185,186,張景台,民主政治,張景台 - 民主政治,2.0,7.0,10,1.0,0.0
186,187,張景台,非營利組織與全球議題,張景台 - 非營利組織與全球議題,2.0,7.0,10,1.0,0.0
187,188,湯文淵,民主政治,湯文淵 - 民主政治,0.0,7.0,10,1.5,1.5
188,189,蕭怡靖,民主政治,蕭怡靖 - 民主政治,1.0,8.0,0,1.0,0.0
189,190,梁家恩,民主政治(全英語授課),梁家恩 - 民主政治(全英語授課),3.0,6.0,0,1.0,0.0
190,191,周應龍,公民社會(雙語授課(中文/英文)),周應龍 - 公民社會(雙語授課(中文/英文)),0.0,9.0,0,1.0,0.0
191,192,陳進郁,公民社會,陳進郁 - 公民社會,1.5,6.0,0,1.5,1.0
192,193,楊綿傑,公民社會,楊綿傑 - 公民社會,0.0,5.0,10,1.5,3.5
193,194,安娜,公民文化(全英語授課),安娜 - 公民文化(全英語授課),6.5,3.0,0,0.5,0.0
194,195,謝相慶,憲法與人權,謝相慶 - 憲法與人權,2.0,6.0,0,1.0,1.0
195,196,黃奕琳,憲法與人權,黃奕琳 - 憲法與人權,3.0,7.0,0,0.0,0.0
196,197,吳憲,資訊生活與法律,吳憲 - 資訊生活與法律,0.0,10.0,0,0.0,0.0
197,198,彭睿仁,智慧財產權與法律,彭睿仁 - 智慧財產權與法律,2.0,6.5,0,1.5,0.0
198,199,胡紹謙,社會創新,胡紹謙 - 社會創新,5.5,0.0,10,1.5,3.0
199,200,許昭元,生活與法律(進),許昭元 - 生活與法律(進),4.0,5.0,0,1.0,0.0
200,201,賴盛維,網路與資訊科技,賴盛維 - 網路與資訊科技,8.0,0.0,0,2.0,0.0
201,202,張漢琦,網路與資訊科技,張漢琦 - 網路與資訊科技,3.0,7.0,0,0.0,0.0
202,203,賴盛維,網路與資訊科技,賴盛維 - 網路與資訊科技,8.0,0.0,0,2.0,0.0
203,204,陳智揚,OFFICE證照實務,陳智揚 - OFFICE證照實務,1.0,7.0,0,2.0,0.0
204,205,陳智揚,OFFICE證照實務,陳智揚 - OFFICE證照實務,1.0,7.0,0,2.0,0.0
205,206,劉文琇,OFFICE證照實務,劉文琇 - OFFICE證照實務,2.0,6.0,0,2.0,0.0
206,207,陳德展,多媒體實務與應用,陳德展 - 多媒體實務與應用,4.0,0.0,10,3.0,3.0
207,208,張玄菩,多媒體實務與應用,張玄菩 - 多媒體實務與應用,3.0,0.0,0,1.0,6.0
208,209,楊仁和,進階C語言應用,楊仁和 - 進階C語言應用,3.0,6.0,0,1.0,0.0
209,210,黃連進,Python程式語言,黃連進 - Python程式語言,1.0,8.0,0,1.0,0.0
210,211,葉建華,電腦入門與程式思維,葉建華 - 電腦入門與程式思維,4.0,4.0,0,2.0,0.0
211,212,薛智誠,電腦入門與程式思維,薛智誠 - 電腦入門與程式思維,2.0,6.0,0,2.0,0.0
212,213,歐陽崇榮,電腦入門與程式思維,歐陽崇榮 - 電腦入門與程式思維,4.5,4.0,0,1.5,1.0
213,214,洪復一,電腦入門與程式思維(全英語授課),洪復一 - 電腦入門與程式思維(全英語授課),5.0,4.0,0,1.0,0.0
214,215,張淑雅,網頁程式設計,張淑雅 - 網頁程式設計,4.0,4.0,0,2.0,0.0
215,216,鍾興臺,網頁程式設計,鍾興臺 - 網頁程式設計,1.0,1.0,0,1.5,0.0
216,217,翁孟廷,電腦入門與程式思維,翁孟廷 - 電腦入門與程式思維,2.0,6.5,0,1.5,0.0
217,218,周子聰,生物科技,周子聰 - 生物科技,3.0,7.0,0,0.0,0.0
218,219,廖恩慈,生物科技,廖恩慈 - 生物科技,4.5,4.0,0,1.5,0.0
219,220,劉昭華,生物科技,劉昭華 - 生物科技,4.5,2.0,10,0.0,3.5
220,221,費約瑟,機械簡史(全英語授課),費約瑟 - 機械簡史(全英語授課),3.0,6.0,0,1.0,0.0
221,222,秦一男,地球生態環境,秦一男 - 地球生態環境,0.0,9.0,0,1.0,0.0
222,223,林琦峯,地球生態環境,林琦峯 - 地球生態環境,4.0,0.0,10,3.0,2.0
223,224,李英豪,地球生態環境,李英豪 - 地球生態環境,1.0,7.0,0,2.0,0.0
224,225,范素玲,地球生態環境(全英語授課)(遠距非同步課程),范素玲 - 地球生態環境(全英語授課)(遠距非同步課程),3.0,7.0,0,0.0,0.0
225,226,張保興,地球生態環境,張保興 - 地球生態環境,5.0,5.0,10,0.0,0.0
226,227,黃富國,地球生態環境,黃富國 - 地球生態環境,7.0,2.0,10,1.0,0.0
227,228,吳朝賢,地球生態環境,吳朝賢 - 地球生態環境,5.0,2.5,0,2.5,0.0
228,229,唐建堯,能源與材料科技,唐建堯 - 能源與材料科技,3.5,0.0,10,3.0,3.5
229,230,王文竹,能源與材料科技,王文竹 - 能源與材料科技,5.0,3.0,0,2.0,0.0
230,231,趙思涵,能源與材料科技,趙思涵 - 能源與材料科技,7.0,1.0,10,0.0,3.0
231,232,余宣賦,能源與材料科技,余宣賦 - 能源與材料科技,2.0,5.0,0,3.0,0.0
232,233,楊維斌,電子與電腦科技,楊維斌 - 電子與電腦科技,1.0,4.0,10,1.0,4.0
233,234,余繁,電子與電腦科技,余繁 - 電子與電腦科技,0.0,1.0,0,3.0,0.0
234,235,楊淳良,電子與電腦科技,楊淳良 - 電子與電腦科技,0.0,3.0,10,3.0,4.0
235,236,李世鳴,電子與電腦科技,李世鳴 - 電子與電腦科技,2.0,7.0,0,1.0,0.0
236,237,楊龍杰,海洋科技,楊龍杰 - 海洋科技,3.0,6.0,0,1.0,0.0
237,238,高思懷,科技永續,高思懷 - 科技永續,0.0,4.0,0,1.6,4.4
238,239,李安瑞,智慧綠生活,李安瑞 - 智慧綠生活,0.0,0.0,10,3.0,7.0
239,240,陳惇凱,科技進化(全英語授課),陳惇凱 - 科技進化(全英語授課),8.0,2.0,0,0.0,0.0
240,241,陳惇凱,科技進化(全英語授課),陳惇凱 - 科技進化(全英語授課),8.0,2.0,0,0.0,0.0
241,242,蕭富元,智慧機器人,蕭富元 - 智慧機器人,0.0,7.0,0,3.0,0.0
242,243,蔡秉均,智慧機器人,蔡秉均 - 智慧機器人,0.0,6.0,10,1.0,3.0
243,244,周厚文,科技進化,周厚文 - 科技進化,1.5,6.0,10,1.0,1.5
244,245,鄒昌達,科技進化,鄒昌達 - 科技進化,2.0,6.0,0,2.0,0.0
