,teacher_course,assignment,report,test,in_group,attend
149,劉玉儀 : 社會未來,1,0,8,0,1
150,史城均 : 社會未來(全英語授課),8,0,0,0,2
151,王伯昌 : 科技未來,7,0,0,0,3
152,范素玲 : 科技未來(遠距非同步課程),7,0,3,0,0
153,張朝欽 : 科技未來,8,0,0,0,2
154,紀舜傑 : 政治未來,1,3,4,10,2
155,紀舜傑 : 社會未來-運動文化趨勢,1,3,4,10,2
156,江素慧 : 政治未來,0,0,7.5,0,2.5
157,邱俊達 : 社會未來-城市未來(雙語授課(中文/英文)),6,2,0,10,2
158,周湘華 : 政治未來,1,1.5,6,0,1.5
159,陳杏枝 : 台灣社會與文化,5.5,0,4.5,10,0
160,胡延薇 : 人際關係與溝通,1,3,3,0,3
161,胡延薇 : 幸福的理性與感性,1,3,3,0,3
162,鄧玉英 : 經濟學概論,5,0,2,10,3
163,宋鴻燕 : 正向心理學,7,3,0,0,0
164,韓貴香 : 社會心理學,3,0,5,0,2
165,韓貴香 : 心理學導論,3,0,5,0,2
166,黃奕琳 : 人權與社會正義,3,0,7,10,0
167,黃奕琳 : 政治學概論,3,0,7,0,0
168,黃奕琳 : 政治心理學,3,0,7,0,0
169,林楚淇 : 人權與社會正義,1,0,7,0,2
170,藍毓華 : 媒體與傳播文化,4,4,0,10,2
171,藍毓華 : 社會變遷與社會教育,4,4,0,0,2
172,藍毓華 : 數位環境與媒體新素養,4,4,0,0,2
173,黃文智 : 戰爭與人性,0,4,5,10,1
174,鄧玉英 : 幸福經濟學,3,3,2,10,2
175,宋鴻燕 : 發展心理學概論,7,0,3,0,0
176,林怡君 : 發展心理學概論(遠距非同步課程),2.5,3,3,10,1.5
177,胡延薇 : 心理學導論,1,3,3,10,3
178,劉玉儀 : 社會學導論(全英語授課),0,5,2,10,3
179,周文卿 : 生活與財經(雙語授課(中文/英文)),2,6,0,10,2
180,劉素鳳 : 性別與社會(進),3.5,2.5,2.5,0,1.5
181,毛莉雯 : 健康行銷(進),8,0,0,10,2
182,黃寄倫 : 科技社會與公民參與,4,0,4,10,2
183,戴政龍 : 科技社會與公民參與,3.6,0,5,0,1.4
184,呂其昌 : 企業與法律,3,0,7,0,0
185,涂予尹 : 生活與法律,10,0,0,0,0
186,張景台 : 民主政治,2,0,7,10,1
187,張景台 : 非營利組織與全球議題,2,0,7,10,1
188,湯文淵 : 民主政治,0,1.5,7,10,1.5
189,蕭怡靖 : 民主政治,1,0,8,0,1
190,梁家恩 : 民主政治(全英語授課),3,0,6,0,1
191,周應龍 : 公民社會(雙語授課(中文/英文)),0,0,9,0,1
192,陳進郁 : 公民社會,1.5,1,6,0,1.5
193,楊綿傑 : 公民社會,0,3.5,5,10,1.5
194,安　娜 : 公民文化(全英語授課),6.5,0,3,0,0.5
195,謝相慶 : 憲法與人權,2,1,6,0,1
196,黃奕琳 : 憲法與人權,3,0,7,0,0
197,吳　憲 : 資訊生活與法律,0,0,10,0,0
198,彭睿仁 : 智慧財產權與法律,2,0,6.5,0,1.5
199,胡紹謙 : 社會創新,5.5,3,0,10,1.5
200,許昭元 : 生活與法律(進),4,0,5,0,1
201,賴盛維 : 網路與資訊科技,8,0,0,0,2
202,張漢琦 : 網路與資訊科技,3,0,7,0,0
203,賴盛維 : 網路與資訊科技,8,0,0,0,2
204,陳智揚 : OFFICE證照實務,1,0,7,0,2
205,陳智揚 : OFFICE證照實務,1,0,7,0,2
206,劉文琇 : OFFICE證照實務,2,0,6,0,2
207,陳德展 : 多媒體實務與應用,4,3,0,1,3
208,張玄菩 : 多媒體實務與應用,3,6,0,0,1
209,楊仁和 : 進階C語言應用,3,0,6,0,1
210,黃連進 : Python程式語言,1,0,8,0,1
211,葉建華 : 電腦入門與程式思維,4,0,4,0,2
212,薛智誠 : 電腦入門與程式思維,2,0,6,0,2
213,歐陽崇榮 : 電腦入門與程式思維,4.5,1,4,0,1.5
214,洪復一 : 電腦入門與程式思維(全英語授課),5,0,4,0,1
215,張淑雅 : 網頁程式設計,4,0,4,0,2
216,鍾興臺 : 網頁程式設計,1,0,1,0,1.5
